Відходи,Сортування й переробка,"Роздільно зібраних побутових відходів / 
Всього побутових відходів за рік",%,1,20,Роздільно зібраних побутових відходів,Всього побутових відходів за рік,HC-02,0,0
Відходи,Сортування й переробка,"Перероблених побутових відходів / 
Всього побутових відходів за рік",%,1,50,Перероблених побутових відходів,Всього побутових відходів за рік,HC-03,0,0
Відходи,Морфологія,"Органічних відходів, що потрапляють на полігон / 
Всього побутових відходів за рік",%,1,-10,"Органічних відходів, що потрапляють на полігон",Всього побутових відходів за рік,HD-01,0,0
Відходи,Морфологія,"Будівельних відходів, що потрапляють на полігон / 
Всього побутових відходів за рік",%,1,-5,"Будівельних відходів, що потрапляють на полігон",Всього побутових відходів за рік,HD-02,0,0
Відходи,Енергія з відходів,"Енергії від спалювання сміття / 
Всього побутових відходів за рік","МВт.год. / 
тонн",2,300,Енергії від спалювання сміття,Всього побутових відходів за рік,HE-01,0,0
Відходи,Енергія з відходів,"Потужність встановленої енергетичної установки для використання полігонного газу / 
Обсяг захоронених відходів","МВт. / 
тонн",2,100,Потужність встановленої енергетичної установки для використання полігонного газу,Обсяг захоронених відходів,HE-02,0,0
Відходи,Енергія з відходів,"Видобуто полігонного газу для енергетичних потреб / 
Обсяг захоронених відходів","Тис.м3 / 
тонн",3,800,Видобуто полігонного газу для енергетичних потреб,Обсяг захоронених відходів,HE-03,0,0
Відходи,Енергія з відходів,"Вироблено теплової енергії із полігонного газу / 
Обсяг захоронених відходів","МВт.год. / 
тонн",3,20,Вироблено теплової енергії із полігонного газу,Обсяг захоронених відходів,HE-04,0,0
Відходи,Енергія з відходів,"Вироблено електроенергії із полігонного газу / 
Обсяг захоронених відходів","МВт.год. / 
тонн",3,100,Вироблено електроенергії із полігонного газу,Обсяг захоронених відходів,HE-05,0,0
Відходи,Енергія з відходів,"Реалізовано електроенергії із полігонного газу за зеленим тарифом / 
Обсяг захоронених відходів","МВт.год. / 
тонн",3,20,Реалізовано електроенергії із полігонного газу за зеленим тарифом,Обсяг захоронених відходів,HE-06,0,0
Відходи,Стихійні звалища,"Площі стихійних сміттєзвалищ / 
Мешканців","Км2 / 
тис.осіб",3,-900,Площі стихійних сміттєзвалищ,Мешканців,HF-01,0,0
Енергія,Споживання,"Вся енергія, спожита в громаді / 
Опалювальна площа будівель","кВт.год. / 
м2",1,"-0,1","Вся енергія, спожита в громаді",Опалювальна площа будівель,IA-01,0,0
Енергія,Споживання,"Вся енергія, спожита в громаді / 
Домогосподарств","кВт.год. / 
од.",1,"-0,01","Вся енергія, спожита в громаді",Домогосподарств,IA-02,0,0
