Показник,Значення,Рік,Громада,Джерело
"Енергія із ВДЕ, вироблена в громаді",63963,2019,Сєвєродонецьк,Міськтеплоенерго
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,307569306,2019,Сєвєродонецьк,Міськтеплоенерго
Спожито опалення від теплопостачальних підприємств,306859876,2019,Сєвєродонецьк,Міськтеплоенерго
Спожито енергії в багатоквартирних будинках із централізованим опаленням,351756833,2019,Сєвєродонецьк,Міськтеплоенерго
Спожито теплової енергії в житловому секторі,267563269,2019,Сєвєродонецьк,Міськтеплоенерго
"Вся енергія, спожита в громаді",1241400702,2019,Сєвєродонецьк,Міськтеплоенерго
"Вся теплова енергія, спожита в громаді",296965693,2019,Сєвєродонецьк,Міськтеплоенерго
Спожито енергоресурсів теплопостачальними підприємствами та підприємствами ГВП,520618826,2019,Сєвєродонецьк,Міськтеплоенерго
Спожито енергоресурсів теплопостачальними підприємствами саме на теплопостачання,519170891,2019,Сєвєродонецьк,Міськтеплоенерго
Опалювальна площа квартир в багатоквартирних будинках із централізованим опаленням,2227936,2019,Сєвєродонецьк,Міськтеплоенерго
"Енергія із ВДЕ, вироблена в громаді",318534,2020,Сєвєродонецьк,Міськтеплоенерго
Реалізовано теплової енергії теплопостачальними підприємствами на опалення та ГВП,285523478,2020,Сєвєродонецьк,Міськтеплоенерго
Спожито опалення від теплопостачальних підприємств,285215283,2020,Сєвєродонецьк,Міськтеплоенерго
