Показник,Значення,Рік,Громада,Джерело
Доходи від податку на нерухоме майно в місцевий бюджет,8584.6,2019,Нововолинськ,Департамент фінансів
Доходи від туристичного збору в місцевий бюджет,61.5,2019,Нововолинськ,Департамент фінансів
Видатки загального фонду,417606.3,2019,Нововолинськ,Департамент фінансів
Видатки спеціального фонду,70264.7,2019,Нововолинськ,Департамент фінансів
Видатки на освіту,160724.4,2019,Нововолинськ,Департамент фінансів
Видатки на охорону здоров'я,63024.4,2019,Нововолинськ,Департамент фінансів
Видатки на соціальний захист,115454.2,2019,Нововолинськ,Департамент фінансів
Видатки на ЖКГ,19179.9,2019,Нововолинськ,Департамент фінансів
Інші видатки,472.1,2019,Нововолинськ,Департамент фінансів
Видатки бюджету розвитку,38092.8,2020,Нововолинськ,Департамент фінансів
Доходи загального фонду,344669.6,2020,Нововолинськ,Департамент фінансів
Доходи спеціального фонду,26537.4,2020,Нововолинськ,Департамент фінансів
Доходи бюджету розвитку,7516,2020,Нововолинськ,Департамент фінансів
Неподаткові доходи,8201,2020,Нововолинськ,Департамент фінансів
Доходи від ПДФО в місцевий бюджет,120822.3,2020,Нововолинськ,Департамент фінансів
Доходи від акцизного податку в місцевий бюджет,16783,2020,Нововолинськ,Департамент фінансів
Доходи від плати за землю в місцевий бюджет,15019,2020,Нововолинськ,Департамент фінансів
Доходи від ЄП в місцевий бюджет,31419,2020,Нововолинськ,Департамент фінансів
Доходи від податку на нерухоме майно в місцевий бюджет,9665,2020,Нововолинськ,Департамент фінансів
Доходи від туристичного збору в місцевий бюджет,40.3,2020,Нововолинськ,Департамент фінансів
Видатки загального фонду,311051.6,2020,Нововолинськ,Департамент фінансів
Видатки спеціального фонду,57639.8,2020,Нововолинськ,Департамент фінансів
Видатки на освіту,177840,2020,Нововолинськ,Департамент фінансів
Видатки на охорону здоров'я,27636.8,2020,Нововолинськ,Департамент фінансів
Видатки на соціальний захист,9701,2020,Нововолинськ,Департамент фінансів
Видатки на ЖКГ,22539.4,2020,Нововолинськ,Департамент фінансів
Інші видатки,500,2020,Нововолинськ,Департамент фінансів
Юридичних осіб,913,2018,Нововолинськ,Департамент економіки
Інвестиції,577000,2018,Нововолинськ,Департамент економіки
Середня заробітна плата в громаді,7896,2018,Нововолинськ,Департамент економіки
Мешканців,56240,2018,Нововолинськ,Департамент економіки
